"long","lat","year"
153.405,-28.273,"2018.78904109589"
153.382633,-28.406853,"2019.05753424658"
153.326,-29.577,"2017.97260273973"
153.565,-28.34,"2018.88767123288"
153.405228,-28.272724,"2018.34520547945"
153.405,-28.273,"2018.29589041096"
153.35,-28.54,"2018.99726027397"
153.370891,-28.794236,"2018.87945205479"
153.452366,-28.773758,"2019.01643835616"
153.37066,-28.794422,"2018.87945205479"
153.53735,-28.331068,"2019.20547945205"
153.365,-28.8,"2018.14794520548"
153.425,-28.399,"2018.11232876712"
153.405564,-28.272611,"2019.74794520548"
153.245,-29.426,"2018.04931506849"
153.254949,-29.466168,"2019.28219178082"
153.537142,-28.331134,"2019.20547945205"
153.381445,-28.485168,"2019.18356164384"
153.578,-28.278,"2018.8904109589"
153.371,-28.341,"2017.98630136986"
153.406,-28.273,"2018.78904109589"
153.371,-28.341,"2017.98630136986"
153.460666,-28.324206,"2019.65205479452"
153.179,-28.34,"2019.0904109589"
153.565,-28.341,"2018.14794520548"
152.888,-28.461,"2018.17808219178"
153.281748,-28.36174,"2019.85479452055"
153.219241,-28.63771,"2018.14246575342"
153.240528,-29.44395,"2019.20821917808"
153.565,-28.341,"2018.14794520548"
153.248677,-29.457267,"2017.97260273973"
153.405,-28.273,"2018.17808219178"
153.35,-28.54,"2018.99726027397"
153.405,-28.273,"2018.29589041096"
153.57,-28.34,"2018.88767123288"
153.301407,-28.253199,"2018.99726027397"
153.405506,-28.272625,"2019.67397260274"
153.322,-29.422,"2017.91232876712"
153.219266,-28.637658,"2018.14520547945"
153.405,-28.273,"2018.17808219178"
153.405727,-28.272496,"2018.34520547945"
153.460379,-28.324178,"2019.65205479452"
153.405211,-28.272732,"2018.34520547945"
153.371,-28.341,"2017.98630136986"
153.371241,-28.794643,"2018.88219178082"
153.382658,-28.406937,"2019.05479452055"
153.405233,-28.272723,"2018.1698630137"
153.301271,-28.25325,"2019"
152.888,-28.461,"2018.17808219178"
153.253066,-28.634781,"2018.98082191781"
153.537325,-28.330921,"2018.8602739726"
153.219098,-28.637783,"2018.70410958904"
153.412,-28.275,"2018.29589041096"
153.606265,-28.692366,"2017.9095890411"
153.499462,-28.780552,"2018.15890410959"
153.219388,-28.63808,"2018.14520547945"
153.349311,-28.423806,"2018.98904109589"
153.564,-28.375,"2017.93150684932"
153.537226,-28.330933,"2018.8602739726"
145.469533,-16.533145,"2021.29589041096"
145.469336,-16.534097,"2021.29589041096"
152.899999,-27.131058,"2021.27397260274"
145.473394,-16.527896,"2021.29589041096"
145.474595,-16.526245,"2021.29589041096"
152.814258,-27.736394,"2021.28767123288"
145.47281,-16.528345,"2021.29589041096"
145.671034,-16.746826,"2021.29589041096"
145.470181,-16.537478,"2021.29589041096"
145.473394,-16.527896,"2021.29589041096"
153.139147,-26.791599,"2021.28767123288"
145.352422,-15.910817,"2019.94520547945"
145.473216,-16.529463,"2021.29863013699"
145.471022,-16.536121,"2021.29589041096"
152.848514,-27.385859,"2018.75068493151"
152.1034,-27.253323,"2021.13150684931"
148.78181,-20.397106,"2021.28219178082"
153.387146,-28.080647,"2021.27945205479"
146.48367,-18.726168,"2018.51506849315"
153.421494,-28.060593,"2021.27945205479"
153.297683,-29.153144,"2021.26849315068"
152.915171,-25.7157,"2021.27397260274"
153.387146,-28.080647,"2021.27945205479"
153.070451,-27.509573,"2021.24383561644"
153.112273,-26.765412,"2017.17808219178"
146.78064,-19.298787,"2019.30410958904"
145.6286,-16.815497,"2021.18356164384"
152.823064,-27.544596,"2017.94520547945"
152.898545,-27.428545,"2020.10928961749"
153.101324,-27.778621,"2014.06575342466"
153.176111,-29.398333,"2021.25205479452"
152.987778,-27.522368,"2021.16438356164"
152.991944,-27.523611,"2021.03287671233"
153.030326,-27.474984,"2021.20821917808"
153.110784,-26.752478,"2017.16164383562"
148.631567,-22.456159,"2021.26301369863"
145.648142,-16.727243,"2015.14246575342"
130.89565,-12.330888,"2021.25205479452"
152.982886,-27.523434,"2021.17260273973"
153.003889,-27.524722,"2021.00547945205"
152.991111,-27.525,"2021.10136986301"
152.353641,-24.863198,"2015.12328767123"
153.018816,-27.462448,"2021.23561643836"
153.007778,-27.524167,"2021.01643835616"
152.977807,-27.520974,"2021.22739726027"
151.12807,-34.02829,"2012.16393442623"
151.12807,-34.02829,"2012.16393442623"
151.12807,-34.02829,"2012.16393442623"
151.12807,-34.02829,"2012.16393442623"
151.13322,-34.03222,"2012.08469945355"
151.12807,-34.02829,"2012.16393442623"
151.12807,-34.02829,"2012.16393442623"
151.13322,-34.03222,"2012.08469945355"
151.12807,-34.02829,"2012.16393442623"
151.12807,-34.02829,"2012.16393442623"
151.13322,-34.03222,"2012.08469945355"
153.094243,-27.60554,"2021.23561643836"
145.459162,-16.084674,"2021.19726027397"
145.696256,-16.926036,"2016.22131147541"
152.662104,-27.57521,"2021.2"
152.979681,-27.475209,"2021.23287671233"
145.464759,-16.096597,"2008.51912568306"
130.997627,-13.043575,"2021.21095890411"
152.881745,-27.0538,"2021.12876712329"
152.620277,-25.34555,"2021.15616438356"
152.422901,-24.78409,"2021.16712328767"
152.941545,-27.363742,"2021.14794520548"
153.232133,-27.584642,"2021.22739726027"
145.603841,-17.425644,"2017.71780821918"
152.851389,-27.396111,"2017.74794520548"
145.330456,-16.468626,"2005.29589041096"
152.94555,-27.421155,"2018.86849315069"
153.300195,-29.775595,"2021.21369863014"
145.25882,-15.473114,"2003.53698630137"
145.259962,-15.472744,"2003.53698630137"
152.921737,-27.441335,"2018.89589041096"
145.258394,-15.472858,"2003.53698630137"
153.132524,-25.239823,"2009.99452054795"
153.132495,-28.229634,"2003.23561643836"
153.456528,-28.85568,"2021.19452054795"
143.286336,-12.763039,"2021.12876712329"
143.287438,-12.758588,"2021.12876712329"
152.828277,-27.056325,"2021.19726027397"
153.127218,-27.491295,"2021.18630136986"
152.990989,-28.374819,"2021.17534246575"
145.695562,-16.84933,"2020.96174863388"
145.569923,-17.003611,"2021.12328767123"
152.879757,-27.462858,"2016.18852459016"
153.55762,-28.327703,"2021.15616438356"
142.5,-12,"1996.56557377049"
153.131919,-27.489622,"2021.15890410959"
126.115421,-17.473622,"2021.14794520548"
132.173889,-14.515277,"2021.0904109589"
145.516577,-16.599861,"2020.98087431694"
152.784564,-27.395798,"2012.25956284153"
148.631678,-21.139346,"2021.06849315068"
152.695172,-25.78865,"2021.11780821918"
153.062814,-26.669036,"2021.14520547945"
